IDStation,NameStation,MissingAmmonia,MissingPM10,MissingPM25,MissingAllThree
677,Cremona Via Fatebenefratelli,3,25,42,3
642,Pavia Via Folperti,22,24,56,8
681,Moggio,28,14,17,0
693,Sannazzaro De Burgondi Agip,38,20,39,14
1266,Bertonico,53,12,365,0
703,Schivenoglia,201,25,27,14
705,Milano Pascal Citta Studi,262,32,28,16
1374,Monza Parco,312,56,365,47
548,Milano Via Senato,365,16,12,9
554,Saronno Via Santuario,365,2,7,2
560,Varese Via Copelli,365,11,24,11
561,Como Viale Cattaneo,365,22,20,20
576,Merate,365,16,16,16
583,Bergamo Via Meucci,365,2,3,2
592,Treviglio,365,7,2,0
600,Lodi Viale Vignati,365,19,4,2
609,Casirate D'Adda,365,40,31,22
627,Cremona Pzza Cadorna,365,26,6,0
633,Soresina,365,24,21,17
649,Brescia Broletto,365,40,46,30
655,Darfo Aria,365,53,51,51
669,Brescia Villaggio Sereno,365,31,31,29
670,Mantova San Agnese,365,32,36,29
674,Monza Via Machiavelli,365,28,30,22
685,Calusco D'Adda,365,6,18,2
695,Ponti Sul Mincio,365,22,31,21
697,Borgofranco Loc Bonizzo,365,40,33,10
706,Lecco Via Sora,365,13,22,11
1264,Sondrio Via Paribelli,365,8,8,8
1265,Lodi San Alberto,365,19,19,19
1269,Dalmine Via Verdi,365,54,63,50
1297,Spinadesco,365,8,7,6
