Date,IDStation,NameStation,Ammonia,PM10,PM2.5
2019-01-01T00:00:00Z,607,Abbadia Cerreto,NA,NA,NA
2019-01-01T00:00:00Z,551,Arconate (aria),NA,NA,NA
2019-01-01T00:00:00Z,584,Bergamo - via Garibaldi,NA,73,NA
2019-01-01T00:00:00Z,583,Bergamo - via Meucci,NA,64,54
2019-01-01T00:00:00Z,1266,Bertonico,NA,61,NA
2019-01-01T00:00:00Z,697,Borgofranco - loc. Bonizzo,NA,63,55
2019-01-01T00:00:00Z,571,Bormio,NA,28,NA
2019-01-01T00:00:00Z,649,Brescia - Broletto,NA,58,51
2019-01-01T00:00:00Z,652,Brescia - via Turati,NA,NA,NA
2019-01-01T00:00:00Z,669,Brescia - Villaggio Sereno,NA,71,62
2019-01-01T00:00:00Z,558,Busto Arsizio - Accam,NA,67,NA
2019-01-01T00:00:00Z,685,Calusco d' Adda,NA,58,47
2019-01-01T00:00:00Z,565,Cantù - via Meucci,NA,61,NA
2019-01-01T00:00:00Z,609,Casirate d`Adda,NA,NA,79
2019-01-01T00:00:00Z,690,Casoni - AGIP,NA,66,NA
2019-01-01T00:00:00Z,683,Cassano d'Adda 2 - Via Milano,NA,101,NA
2019-01-01T00:00:00Z,529,Cinisello Balsamo,NA,NA,NA
2019-01-01T00:00:00Z,608,Codogno - via Trento,NA,75,NA
2019-01-01T00:00:00Z,573,Colico,2.7,NA,NA
2019-01-01T00:00:00Z,561,Como - viale Cattaneo,NA,78,66
2019-01-01T00:00:00Z,544,Cormano,NA,NA,NA
2019-01-01T00:00:00Z,672,Cornale (Voghera Energia),NA,NA,53
2019-01-01T00:00:00Z,626,Corte de Cortesi,13.3,NA,NA
2019-01-01T00:00:00Z,629,Crema - via XI febbraio,NA,71,NA
2019-01-01T00:00:00Z,627,Cremona - p.zza Cadorna,NA,67,52
2019-01-01T00:00:00Z,677,Cremona - Via Fatebenefratelli,2.3,68,56
2019-01-01T00:00:00Z,1269,Dalmine - via Verdi,NA,66,58
2019-01-01T00:00:00Z,655,Darfo (aria),NA,NA,NA
2019-01-01T00:00:00Z,564,Erba - via Battisti,NA,61,NA
2019-01-01T00:00:00Z,687,Ferno,NA,63,NA
2019-01-01T00:00:00Z,682,Ferrera Erbognone - ENI,NA,NA,NA
2019-01-01T00:00:00Z,595,Filago - via Don Milani,NA,91,NA
2019-01-01T00:00:00Z,656,Gambara,NA,NA,NA
2019-01-01T00:00:00Z,574,Lecco - Via Amendola,NA,68,NA
2019-01-01T00:00:00Z,706,Lecco - Via Sora,NA,44,31
2019-01-01T00:00:00Z,531,Limito,NA,111,NA
