IDStation,NameStation,nada
681,Moggio,85
693,Sannazzaro De Burgondi Agip,97
677,Cremona Via Fatebenefratelli,103
642,Pavia Via Folperti,147
703,Schivenoglia,294
705,Milano Pascal Citta Studi,312
501,Milano Viale Marche,731
504,Sesto San Giovanni,731
514,Rho Via Statuto,731
517,Turbigo,731
528,Milano Verziere,731
529,Cinisello Balsamo,731
531,Limito,731
539,Milano Viale Liguria,731
542,Meda,731
544,Cormano,731
545,Motta Visconti Aria,731
546,Magenta,731
548,Milano Via Senato,731
551,Arconate Aria,731
552,Varese Vidoletti,731
554,Saronno Via Santuario,731
558,Busto Arsizio Accam,731
560,Varese Via Copelli,731
561,Como Viale Cattaneo,731
564,Erba Via Battisti,731
565,Cantu Via Meucci,731
569,Sondrio Via Mazzini,731
571,Bormio,731
572,Morbegno Via Cortivacci,731
573,Colico,731
574,Lecco Via Amendola,731
576,Merate,731
583,Bergamo Via Meucci,731
584,Bergamo Via Garibaldi,731
588,Tavernola Bergamasca,731
592,Treviglio,731
595,Filago Via Don Milani,731
596,Osio Sotto,731
598,San Rocco Al Porto,731
600,Lodi Viale Vignati,731
604,Tavazzano,731
606,San Giuliano Milanese,731
607,Abbadia Cerreto,731
608,Codogno Via Trento,731
609,Casirate Dadda,731
626,Corte De Cortesi,731
627,Cremona Pzza Cadorna,731
629,Crema Via Xi Febbraio,731
633,Soresina,731
643,Pavia Pzza Minerva,731
649,Brescia Broletto,731
652,Brescia Via Turati,731
654,Sarezzo Via Minelli,731
655,Darfo Aria,731
656,Gambara,731
657,Lonato,731
659,Odolo,731
661,Rezzato,731
663,Mantova Via Ariosto,731
664,Mantova Pzza Gramsci,731
665,Viadana,731
669,Brescia Villaggio Sereno,731
670,Mantova San Agnese,731
672,Cornale Voghera Energia,731
673,Voghera Via Pozzoni,731
674,Monza Via Machiavelli,731
679,Valmadrera,731
682,Ferrera Erbognone Eni,731
683,Cassano Dadda Via Milano,731
685,Calusco D Adda,731
687,Ferno,731
690,Casoni Agip,731
695,Ponti Sul Mincio,731
697,Borgofranco Loc Bonizzo,731
706,Lecco Via Sora,731
708,Parona,731
709,Vigevano Via Valletta,731
1264,Sondrio Via Paribelli,731
1265,Lodi San Alberto,731
1266,Bertonico,731
1269,Dalmine Via Verdi,731
1274,Perledo,731
1297,Spinadesco,731
1374,Monza Parco,731
