IDStation,NameStation,nada
693,Sannazzaro De Burgondi Agip,31
681,Moggio,37
705,Milano Pascal Citta Studi,39
677,Cremona Via Fatebenefratelli,59
642,Pavia Via Folperti,71
703,Schivenoglia,79
501,Milano Viale Marche,366
504,Sesto San Giovanni,366
514,Rho Via Statuto,366
517,Turbigo,366
528,Milano Verziere,366
529,Cinisello Balsamo,366
531,Limito,366
539,Milano Viale Liguria,366
542,Meda,366
544,Cormano,366
545,Motta Visconti Aria,366
546,Magenta,366
548,Milano Via Senato,366
551,Arconate Aria,366
552,Varese Vidoletti,366
554,Saronno Via Santuario,366
558,Busto Arsizio Accam,366
560,Varese Via Copelli,366
561,Como Viale Cattaneo,366
564,Erba Via Battisti,366
565,Cantu Via Meucci,366
569,Sondrio Via Mazzini,366
571,Bormio,366
572,Morbegno Via Cortivacci,366
573,Colico,366
574,Lecco Via Amendola,366
576,Merate,366
583,Bergamo Via Meucci,366
584,Bergamo Via Garibaldi,366
588,Tavernola Bergamasca,366
592,Treviglio,366
595,Filago Via Don Milani,366
596,Osio Sotto,366
598,San Rocco Al Porto,366
600,Lodi Viale Vignati,366
604,Tavazzano,366
606,San Giuliano Milanese,366
607,Abbadia Cerreto,366
608,Codogno Via Trento,366
609,Casirate Dadda,366
626,Corte De Cortesi,366
627,Cremona Pzza Cadorna,366
629,Crema Via Xi Febbraio,366
633,Soresina,366
643,Pavia Pzza Minerva,366
649,Brescia Broletto,366
652,Brescia Via Turati,366
654,Sarezzo Via Minelli,366
655,Darfo Aria,366
656,Gambara,366
657,Lonato,366
659,Odolo,366
661,Rezzato,366
663,Mantova Via Ariosto,366
664,Mantova Pzza Gramsci,366
665,Viadana,366
669,Brescia Villaggio Sereno,366
670,Mantova San Agnese,366
672,Cornale Voghera Energia,366
673,Voghera Via Pozzoni,366
674,Monza Via Machiavelli,366
679,Valmadrera,366
682,Ferrera Erbognone Eni,366
683,Cassano Dadda Via Milano,366
685,Calusco D Adda,366
687,Ferno,366
690,Casoni Agip,366
695,Ponti Sul Mincio,366
697,Borgofranco Loc Bonizzo,366
706,Lecco Via Sora,366
708,Parona,366
709,Vigevano Via Valletta,366
1264,Sondrio Via Paribelli,366
1265,Lodi San Alberto,366
1266,Bertonico,366
1269,Dalmine Via Verdi,366
1274,Perledo,366
1297,Spinadesco,366
1374,Monza Parco,366
