IDStation,NameStation,nada
677,Cremona Via Fatebenefratelli,44
681,Moggio,48
693,Sannazzaro De Burgondi Agip,66
642,Pavia Via Folperti,76
703,Schivenoglia,215
705,Milano Pascal Citta Studi,273
501,Milano Viale Marche,365
504,Sesto San Giovanni,365
514,Rho Via Statuto,365
517,Turbigo,365
528,Milano Verziere,365
529,Cinisello Balsamo,365
531,Limito,365
539,Milano Viale Liguria,365
542,Meda,365
544,Cormano,365
545,Motta Visconti Aria,365
546,Magenta,365
548,Milano Via Senato,365
551,Arconate Aria,365
552,Varese Vidoletti,365
554,Saronno Via Santuario,365
558,Busto Arsizio Accam,365
560,Varese Via Copelli,365
561,Como Viale Cattaneo,365
564,Erba Via Battisti,365
565,Cantu Via Meucci,365
569,Sondrio Via Mazzini,365
571,Bormio,365
572,Morbegno Via Cortivacci,365
573,Colico,365
574,Lecco Via Amendola,365
576,Merate,365
583,Bergamo Via Meucci,365
584,Bergamo Via Garibaldi,365
588,Tavernola Bergamasca,365
592,Treviglio,365
595,Filago Via Don Milani,365
596,Osio Sotto,365
598,San Rocco Al Porto,365
600,Lodi Viale Vignati,365
604,Tavazzano,365
606,San Giuliano Milanese,365
607,Abbadia Cerreto,365
608,Codogno Via Trento,365
609,Casirate Dadda,365
626,Corte De Cortesi,365
627,Cremona Pzza Cadorna,365
629,Crema Via Xi Febbraio,365
633,Soresina,365
643,Pavia Pzza Minerva,365
649,Brescia Broletto,365
652,Brescia Via Turati,365
654,Sarezzo Via Minelli,365
655,Darfo Aria,365
656,Gambara,365
657,Lonato,365
659,Odolo,365
661,Rezzato,365
663,Mantova Via Ariosto,365
664,Mantova Pzza Gramsci,365
665,Viadana,365
669,Brescia Villaggio Sereno,365
670,Mantova San Agnese,365
672,Cornale Voghera Energia,365
673,Voghera Via Pozzoni,365
674,Monza Via Machiavelli,365
679,Valmadrera,365
682,Ferrera Erbognone Eni,365
683,Cassano Dadda Via Milano,365
685,Calusco D Adda,365
687,Ferno,365
690,Casoni Agip,365
695,Ponti Sul Mincio,365
697,Borgofranco Loc Bonizzo,365
706,Lecco Via Sora,365
708,Parona,365
709,Vigevano Via Valletta,365
1264,Sondrio Via Paribelli,365
1265,Lodi San Alberto,365
1266,Bertonico,365
1269,Dalmine Via Verdi,365
1274,Perledo,365
1297,Spinadesco,365
1374,Monza Parco,365
