"IDStation" "NameStation" "MissingAmmonia" "MissingPM10" "MissingPM25" "MissingAllThree"
"1" 677 "Cremona Via Fatebenefratelli" 2 4 7 2
"2" 642 "Pavia Via Folperti" 19 18 39 3
"3" 626 "Corte De Cortesi" 25 365 365 25
"4" 573 "Colico" 57 365 365 57
"5" 681 "Moggio" 61 24 27 15
"6" 1266 "Bertonico" 68 4 365 2
"7" 703 "Schivenoglia" 119 24 30 15
"8" 705 "Milano Pascal Citta Studi" 167 27 34 14
"9" 693 "Sannazzaro De Burgondi Agip" 200 19 39 19
"10" 1374 "Monza Parco" 260 83 365 54
"11" 504 "Sesto San Giovanni" 365 365 58 58
"12" 517 "Turbigo" 365 26 365 26
"13" 528 "Milano Verziere" 365 21 365 21
"14" 531 "Limito" 365 16 365 16
"15" 542 "Meda" 365 10 365 10
"16" 546 "Magenta" 365 15 365 15
"17" 548 "Milano Via Senato" 365 18 19 15
"18" 554 "Saronno Via Santuario" 365 0 21 0
"19" 558 "Busto Arsizio Accam" 365 18 365 18
"20" 560 "Varese Via Copelli" 365 0 5 0
"21" 561 "Como Viale Cattaneo" 365 8 9 8
"22" 564 "Erba Via Battisti" 365 5 365 5
"23" 565 "Cantu Via Meucci" 365 9 365 9
"24" 569 "Sondrio Via Mazzini" 365 5 365 5
"25" 571 "Bormio" 365 10 365 10
"26" 572 "Morbegno Via Cortivacci" 365 3 365 3
"27" 574 "Lecco Via Amendola" 365 16 365 16
"28" 576 "Merate" 365 24 22 22
"29" 583 "Bergamo Via Meucci" 365 12 12 12
"30" 584 "Bergamo Via Garibaldi" 365 5 365 5
"31" 592 "Treviglio" 365 17 2 1
"32" 595 "Filago Via Don Milani" 365 6 365 6
"33" 596 "Osio Sotto" 365 27 365 27
"34" 598 "San Rocco Al Porto" 365 16 365 16
"35" 600 "Lodi Viale Vignati" 365 8 45 7
"36" 604 "Tavazzano" 365 5 365 5
"37" 608 "Codogno Via Trento" 365 4 365 4
"38" 609 "Casirate D'Adda" 365 6 30 5
"39" 627 "Cremona Pzza Cadorna" 365 1 7 0
"40" 629 "Crema Via Xi Febbraio" 365 3 365 3
"41" 633 "Soresina" 365 29 23 16
"42" 643 "Pavia Pzza Minerva" 365 24 365 24
"43" 649 "Brescia Broletto" 365 13 20 13
"44" 654 "Sarezzo Via Minelli" 365 32 365 32
"45" 655 "Darfo Aria" 365 55 54 51
"46" 659 "Odolo" 365 30 365 30
"47" 661 "Rezzato" 365 7 365 7
"48" 663 "Mantova Via Ariosto" 365 8 365 8
"49" 664 "Mantova Pzza Gramsci" 365 16 365 16
"50" 669 "Brescia Villaggio Sereno" 365 35 32 29
"51" 670 "Mantova San Agnese" 365 1 13 1
"52" 672 "Cornale Voghera Energia" 365 365 20 20
"53" 673 "Voghera Via Pozzoni" 365 19 365 19
"54" 674 "Monza Via Machiavelli" 365 38 43 33
"55" 679 "Valmadrera" 365 16 365 16
"56" 683 "Cassano D'Adda Via Milano" 365 23 365 23
"57" 685 "Calusco D'Adda" 365 14 11 5
"58" 687 "Ferno" 365 18 365 18
"59" 690 "Casoni Agip" 365 16 365 16
"60" 695 "Ponti Sul Mincio" 365 15 9 5
"61" 697 "Borgofranco Loc Bonizzo" 365 14 20 1
"62" 706 "Lecco Via Sora" 365 18 55 10
"63" 708 "Parona" 365 18 365 18
"64" 709 "Vigevano Via Valletta" 365 18 365 18
"65" 1264 "Sondrio Via Paribelli" 365 13 12 11
"66" 1265 "Lodi San Alberto" 365 12 12 12
"67" 1269 "Dalmine Via Verdi" 365 23 23 21
"68" 1297 "Spinadesco" 365 19 11 9
