IDStation,NameStation,MissingAmmonia,MissingPM10,MissingPM25,MissingAllThree
677,Cremona Via Fatebenefratelli,2,4,7,2
642,Pavia Via Folperti,19,18,39,3
681,Moggio,61,24,27,15
1266,Bertonico,68,4,365,2
703,Schivenoglia,119,24,30,15
705,Milano Pascal Citta Studi,167,27,34,14
693,Sannazzaro De Burgondi Agip,200,19,39,19
1374,Monza Parco,260,83,365,54
548,Milano Via Senato,365,18,19,15
554,Saronno Via Santuario,365,0,21,0
560,Varese Via Copelli,365,0,5,0
561,Como Viale Cattaneo,365,8,9,8
576,Merate,365,24,22,22
583,Bergamo Via Meucci,365,12,12,12
592,Treviglio,365,17,2,1
600,Lodi Viale Vignati,365,8,45,7
609,Casirate D'Adda,365,6,30,5
627,Cremona Pzza Cadorna,365,1,7,0
633,Soresina,365,29,23,16
649,Brescia Broletto,365,13,20,13
655,Darfo Aria,365,55,54,51
669,Brescia Villaggio Sereno,365,35,32,29
670,Mantova San Agnese,365,1,13,1
674,Monza Via Machiavelli,365,38,43,33
685,Calusco D'Adda,365,14,11,5
695,Ponti Sul Mincio,365,15,9,5
697,Borgofranco Loc Bonizzo,365,14,20,1
706,Lecco Via Sora,365,18,55,10
1264,Sondrio Via Paribelli,365,13,12,11
1265,Lodi San Alberto,365,12,12,12
1269,Dalmine Via Verdi,365,23,23,21
1297,Spinadesco,365,19,11,9
