"IDStation" "NameStation" "PM25" "PM10" "Ammonia" "Etichetta"
"1" 504 "Sesto San Giovanni" 1 0 0 "PM2.5"
"2" 517 "Turbigo" 0 1 0 "PM10"
"3" 528 "Milano Verziere" 0 1 0 "PM10"
"4" 531 "Limito" 0 1 0 "PM10"
"5" 542 "Meda" 0 1 0 "PM10"
"6" 546 "Magenta" 0 1 0 "PM10"
"7" 548 "Milano Via Senato" 1 1 0 "PM10-PM2.5"
"8" 554 "Saronno Via Santuario" 1 1 0 "PM10-PM2.5"
"9" 558 "Busto Arsizio Accam" 0 1 0 "PM10"
"10" 560 "Varese Via Copelli" 1 1 0 "PM10-PM2.5"
"11" 561 "Como Viale Cattaneo" 1 1 0 "PM10-PM2.5"
"12" 564 "Erba Via Battisti" 0 1 0 "PM10"
"13" 565 "Cantu Via Meucci" 0 1 0 "PM10"
"14" 569 "Sondrio Via Mazzini" 0 1 0 "PM10"
"15" 571 "Bormio" 0 1 0 "PM10"
"16" 572 "Morbegno Via Cortivacci" 0 1 0 "PM10"
"17" 573 "Colico" 0 0 1 "NH3"
"18" 574 "Lecco Via Amendola" 0 1 0 "PM10"
"19" 576 "Merate" 1 1 0 "PM10-PM2.5"
"20" 583 "Bergamo Via Meucci" 1 1 0 "PM10-PM2.5"
"21" 584 "Bergamo Via Garibaldi" 0 1 0 "PM10"
"22" 592 "Treviglio" 1 1 0 "PM10-PM2.5"
"23" 595 "Filago Via Don Milani" 0 1 0 "PM10"
"24" 596 "Osio Sotto" 0 1 0 "PM10"
"25" 598 "San Rocco Al Porto" 0 1 0 "PM10"
"26" 600 "Lodi Viale Vignati" 1 1 0 "PM10-PM2.5"
"27" 604 "Tavazzano" 0 1 0 "PM10"
"28" 608 "Codogno Via Trento" 0 1 0 "PM10"
"29" 609 "Casirate Dadda" 1 1 0 "PM10-PM2.5"
"30" 626 "Corte De Cortesi" 0 0 1 "NH3"
"31" 627 "Cremona Pzza Cadorna" 1 1 0 "PM10-PM2.5"
"32" 629 "Crema Via Xi Febbraio" 0 1 0 "PM10"
"33" 633 "Soresina" 1 1 0 "PM10-PM2.5"
"34" 642 "Pavia Via Folperti" 1 1 1 "Tutti"
"35" 643 "Pavia Pzza Minerva" 0 1 0 "PM10"
"36" 649 "Brescia Broletto" 1 1 0 "PM10-PM2.5"
"37" 654 "Sarezzo Via Minelli" 0 1 0 "PM10"
"38" 655 "Darfo Aria" 1 1 0 "PM10-PM2.5"
"39" 659 "Odolo" 0 1 0 "PM10"
"40" 661 "Rezzato" 0 1 0 "PM10"
"41" 663 "Mantova Via Ariosto" 0 1 0 "PM10"
"42" 664 "Mantova Pzza Gramsci" 0 1 0 "PM10"
"43" 669 "Brescia Villaggio Sereno" 1 1 0 "PM10-PM2.5"
"44" 670 "Mantova San Agnese" 1 1 0 "PM10-PM2.5"
"45" 672 "Cornale Voghera Energia" 1 0 0 "PM2.5"
"46" 673 "Voghera Via Pozzoni" 0 1 0 "PM10"
"47" 674 "Monza Via Machiavelli" 1 1 0 "PM10-PM2.5"
"48" 677 "Cremona Via Fatebenefratelli" 1 1 1 "Tutti"
"49" 679 "Valmadrera" 0 1 0 "PM10"
"50" 681 "Moggio" 1 1 1 "Tutti"
"51" 683 "Cassano Dadda Via Milano" 0 1 0 "PM10"
"52" 685 "Calusco D Adda" 1 1 0 "PM10-PM2.5"
"53" 687 "Ferno" 0 1 0 "PM10"
"54" 690 "Casoni Agip" 0 1 0 "PM10"
"55" 693 "Sannazzaro De Burgondi Agip" 1 1 1 "Tutti"
"56" 695 "Ponti Sul Mincio" 1 1 0 "PM10-PM2.5"
"57" 697 "Borgofranco Loc Bonizzo" 1 1 0 "PM10-PM2.5"
"58" 703 "Schivenoglia" 1 1 1 "Tutti"
"59" 705 "Milano Pascal Citta Studi" 1 1 1 "Tutti"
"60" 706 "Lecco Via Sora" 1 1 0 "PM10-PM2.5"
"61" 708 "Parona" 0 1 0 "PM10"
"62" 709 "Vigevano Via Valletta" 0 1 0 "PM10"
"63" 1264 "Sondrio Via Paribelli" 1 1 0 "PM10-PM2.5"
"64" 1265 "Lodi San Alberto" 1 1 0 "PM10-PM2.5"
"65" 1266 "Bertonico" 0 1 1 "PM10-NH3"
"66" 1269 "Dalmine Via Verdi" 1 1 0 "PM10-PM2.5"
"67" 1297 "Spinadesco" 1 1 0 "PM10-PM2.5"
"68" 1374 "Monza Parco" 0 1 1 "PM10-NH3"
