"IDStation" "NameStation" "PM25" "PM10" "Ammonia" "Etichetta"
"1" 504 "Sesto San Giovanni" 1 0 0 "PM2.5"
"2" 517 "Turbigo" 0 1 0 "PM10"
"3" 528 "Milano Verziere" 0 1 0 "PM10"
"4" 531 "Limito" 0 1 0 "PM10"
"5" 542 "Meda" 0 1 0 "PM10"
"6" 546 "Magenta" 0 1 0 "PM10"
"7" 558 "Busto Arsizio Accam" 0 1 0 "PM10"
"8" 564 "Erba Via Battisti" 0 1 0 "PM10"
"9" 565 "Cantu Via Meucci" 0 1 0 "PM10"
"10" 569 "Sondrio Via Mazzini" 0 1 0 "PM10"
"11" 571 "Bormio" 0 1 0 "PM10"
"12" 572 "Morbegno Via Cortivacci" 0 1 0 "PM10"
"13" 573 "Colico" 0 0 1 "NH3"
"14" 574 "Lecco Via Amendola" 0 1 0 "PM10"
"15" 584 "Bergamo Via Garibaldi" 0 1 0 "PM10"
"16" 595 "Filago Via Don Milani" 0 1 0 "PM10"
"17" 596 "Osio Sotto" 0 1 0 "PM10"
"18" 598 "San Rocco Al Porto" 0 1 0 "PM10"
"19" 604 "Tavazzano" 0 1 0 "PM10"
"20" 608 "Codogno Via Trento" 0 1 0 "PM10"
"21" 626 "Corte De Cortesi" 0 0 1 "NH3"
"22" 629 "Crema Via Xi Febbraio" 0 1 0 "PM10"
"23" 643 "Pavia Pzza Minerva" 0 1 0 "PM10"
"24" 654 "Sarezzo Via Minelli" 0 1 0 "PM10"
"25" 659 "Odolo" 0 1 0 "PM10"
"26" 661 "Rezzato" 0 1 0 "PM10"
"27" 663 "Mantova Via Ariosto" 0 1 0 "PM10"
"28" 664 "Mantova Pzza Gramsci" 0 1 0 "PM10"
"29" 672 "Cornale Voghera Energia" 1 0 0 "PM2.5"
"30" 673 "Voghera Via Pozzoni" 0 1 0 "PM10"
"31" 679 "Valmadrera" 0 1 0 "PM10"
"32" 683 "Cassano D'Adda Via Milano" 0 1 0 "PM10"
"33" 687 "Ferno" 0 1 0 "PM10"
"34" 690 "Casoni Agip" 0 1 0 "PM10"
"35" 708 "Parona" 0 1 0 "PM10"
"36" 709 "Vigevano Via Valletta" 0 1 0 "PM10"
"37" 548 "Milano Via Senato" 1 1 0 "PM10-PM2.5"
"38" 554 "Saronno Via Santuario" 1 1 0 "PM10-PM2.5"
"39" 560 "Varese Via Copelli" 1 1 0 "PM10-PM2.5"
"40" 561 "Como Viale Cattaneo" 1 1 0 "PM10-PM2.5"
"41" 576 "Merate" 1 1 0 "PM10-PM2.5"
"42" 583 "Bergamo Via Meucci" 1 1 0 "PM10-PM2.5"
"43" 592 "Treviglio" 1 1 0 "PM10-PM2.5"
"44" 600 "Lodi Viale Vignati" 1 1 0 "PM10-PM2.5"
"45" 609 "Casirate D'Adda" 1 1 0 "PM10-PM2.5"
"46" 627 "Cremona Pzza Cadorna" 1 1 0 "PM10-PM2.5"
"47" 633 "Soresina" 1 1 0 "PM10-PM2.5"
"48" 649 "Brescia Broletto" 1 1 0 "PM10-PM2.5"
"49" 655 "Darfo Aria" 1 1 0 "PM10-PM2.5"
"50" 669 "Brescia Villaggio Sereno" 1 1 0 "PM10-PM2.5"
"51" 670 "Mantova San Agnese" 1 1 0 "PM10-PM2.5"
"52" 674 "Monza Via Machiavelli" 1 1 0 "PM10-PM2.5"
"53" 685 "Calusco D'Adda" 1 1 0 "PM10-PM2.5"
"54" 695 "Ponti Sul Mincio" 1 1 0 "PM10-PM2.5"
"55" 697 "Borgofranco Loc Bonizzo" 1 1 0 "PM10-PM2.5"
"56" 706 "Lecco Via Sora" 1 1 0 "PM10-PM2.5"
"57" 1264 "Sondrio Via Paribelli" 1 1 0 "PM10-PM2.5"
"58" 1265 "Lodi San Alberto" 1 1 0 "PM10-PM2.5"
"59" 1266 "Bertonico" 0 1 1 "PM10-NH3"
"60" 1269 "Dalmine Via Verdi" 1 1 0 "PM10-PM2.5"
"61" 1297 "Spinadesco" 1 1 0 "PM10-PM2.5"
"62" 1374 "Monza Parco" 0 1 1 "PM10-NH3"
"63" 642 "Pavia Via Folperti" 1 1 1 "All"
"64" 677 "Cremona Via Fatebenefratelli" 1 1 1 "All"
"65" 681 "Moggio" 1 1 1 "All"
"66" 693 "Sannazzaro De Burgondi Agip" 1 1 1 "All"
"67" 703 "Schivenoglia" 1 1 1 "All"
"68" 705 "Milano Pascal Citta Studi" 1 1 1 "All"
