Date,IDStation,NameStation,Benzene,CO,NO2,NOx,PM10,Sulfur_dioxide
2019-01-01T00:00:00Z,584,Bergamo - via Garibaldi,1.1,0.9,50.3,103.9,73,1.9
2019-01-01T00:00:00Z,501,Milano - viale Marche,3,1.2,75.6,152.5,NA,NA
2019-01-01T01:00:00Z,584,Bergamo - via Garibaldi,NA,0.8,48.1,91.3,NA,3
2019-01-01T01:00:00Z,501,Milano - viale Marche,NA,1.3,69.4,155.4,NA,NA
2019-01-01T02:00:00Z,584,Bergamo - via Garibaldi,NA,1,47.7,142.5,NA,6.6
2019-01-01T02:00:00Z,501,Milano - viale Marche,NA,1.6,89.2,265.9,NA,NA
2019-01-01T03:00:00Z,584,Bergamo - via Garibaldi,NA,0.9,44.6,117.2,NA,2.7
2019-01-01T03:00:00Z,501,Milano - viale Marche,NA,1.8,105.3,342.5,NA,NA
2019-01-01T04:00:00Z,584,Bergamo - via Garibaldi,NA,0.7,41.3,67.1,NA,0.7
2019-01-01T04:00:00Z,501,Milano - viale Marche,NA,1.8,105.8,346.2,NA,NA
2019-01-01T05:00:00Z,584,Bergamo - via Garibaldi,NA,0.6,39.8,59,NA,2.8
2019-01-01T05:00:00Z,501,Milano - viale Marche,NA,1.4,80.5,232.7,NA,NA
2019-01-01T06:00:00Z,584,Bergamo - via Garibaldi,NA,0.5,29.3,36.9,NA,0.4
2019-01-01T06:00:00Z,501,Milano - viale Marche,NA,1.5,78.7,207.2,NA,NA
2019-01-01T07:00:00Z,584,Bergamo - via Garibaldi,NA,0.5,42.2,75.9,NA,2.3
2019-01-01T07:00:00Z,501,Milano - viale Marche,NA,1.3,75.7,187.7,NA,NA
2019-01-01T08:00:00Z,584,Bergamo - via Garibaldi,NA,0.5,47.4,83.1,NA,1.6
2019-01-01T08:00:00Z,501,Milano - viale Marche,NA,1.5,85.6,252.8,NA,NA
2019-01-01T09:00:00Z,584,Bergamo - via Garibaldi,NA,0.6,46.1,110.5,NA,3
2019-01-01T09:00:00Z,501,Milano - viale Marche,NA,1.6,91.2,283.6,NA,NA
2019-01-01T10:00:00Z,584,Bergamo - via Garibaldi,NA,0.7,46.2,118.7,NA,2.4
2019-01-01T10:00:00Z,501,Milano - viale Marche,NA,1.4,83.7,244.5,NA,NA
2019-01-01T11:00:00Z,584,Bergamo - via Garibaldi,NA,0.7,46.5,128.7,NA,3.1
2019-01-01T11:00:00Z,501,Milano - viale Marche,NA,1.4,62.7,170.5,NA,NA
2019-01-01T12:00:00Z,584,Bergamo - via Garibaldi,NA,0.5,34.2,71.1,NA,1.6
2019-01-01T12:00:00Z,501,Milano - viale Marche,NA,1.1,49.9,131.4,NA,NA
2019-01-01T13:00:00Z,584,Bergamo - via Garibaldi,NA,0.4,15.8,29.9,NA,0.5
2019-01-01T13:00:00Z,501,Milano - viale Marche,NA,1.2,49,131.6,NA,NA
2019-01-01T14:00:00Z,584,Bergamo - via Garibaldi,NA,0.5,23.8,42.4,NA,0.7
2019-01-01T14:00:00Z,501,Milano - viale Marche,NA,1.2,46.9,116.6,NA,NA
2019-01-01T15:00:00Z,584,Bergamo - via Garibaldi,NA,0.7,42.2,86,NA,2
2019-01-01T15:00:00Z,501,Milano - viale Marche,NA,1.1,46.9,105.9,NA,NA
2019-01-01T16:00:00Z,584,Bergamo - via Garibaldi,NA,0.9,48.7,117.7,NA,3
2019-01-01T16:00:00Z,501,Milano - viale Marche,NA,1.1,48.7,107.4,NA,NA
2019-01-01T17:00:00Z,584,Bergamo - via Garibaldi,NA,0.9,51.2,127.1,NA,3.3
2019-01-01T17:00:00Z,501,Milano - viale Marche,NA,1.2,50,104,NA,NA
2019-01-01T18:00:00Z,584,Bergamo - via Garibaldi,NA,1,49.3,128,NA,3.5
2019-01-01T18:00:00Z,501,Milano - viale Marche,NA,1.1,51.4,101.2,NA,NA
2019-01-01T19:00:00Z,584,Bergamo - via Garibaldi,NA,0.9,46.3,108.8,NA,4.2
2019-01-01T19:00:00Z,501,Milano - viale Marche,NA,1.2,49.7,105.8,NA,NA
2019-01-01T20:00:00Z,584,Bergamo - via Garibaldi,NA,0.9,45,109.7,NA,3
2019-01-01T20:00:00Z,501,Milano - viale Marche,NA,1.2,50,103.3,NA,NA
2019-01-01T21:00:00Z,584,Bergamo - via Garibaldi,NA,1,45.1,116.9,NA,2
2019-01-01T21:00:00Z,501,Milano - viale Marche,NA,1.3,55,126.2,NA,NA
2019-01-01T22:00:00Z,584,Bergamo - via Garibaldi,NA,1,41.7,121.8,NA,4
2019-01-01T22:00:00Z,501,Milano - viale Marche,NA,1.2,50.9,115.6,NA,NA
2019-01-01T23:00:00Z,584,Bergamo - via Garibaldi,NA,1,40.1,123.2,NA,6
2019-01-01T23:00:00Z,501,Milano - viale Marche,NA,1.2,53.6,134.1,NA,NA
2019-01-02T00:00:00Z,584,Bergamo - via Garibaldi,0.5,1,35.7,103.5,26,4.7
2019-01-02T00:00:00Z,501,Milano - viale Marche,1.5,1.1,52.7,119.1,NA,NA
2019-01-02T01:00:00Z,584,Bergamo - via Garibaldi,NA,0.9,34,90.5,NA,1.9
2019-01-02T01:00:00Z,501,Milano - viale Marche,NA,1.2,55.8,131.2,NA,NA
2019-01-02T02:00:00Z,584,Bergamo - via Garibaldi,NA,0.8,30.5,66.7,NA,1.9
2019-01-02T02:00:00Z,501,Milano - viale Marche,NA,1.2,57.9,131,NA,NA
2019-01-02T03:00:00Z,584,Bergamo - via Garibaldi,NA,0.5,19.5,26.8,NA,2.2
2019-01-02T03:00:00Z,501,Milano - viale Marche,NA,1.1,54.7,110.3,NA,NA
2019-01-02T04:00:00Z,584,Bergamo - via Garibaldi,NA,0.5,13.8,17.3,NA,0.6
2019-01-02T04:00:00Z,501,Milano - viale Marche,NA,0.9,48.6,81.2,NA,NA
2019-01-02T05:00:00Z,584,Bergamo - via Garibaldi,NA,0.5,20.1,25,NA,0
2019-01-02T05:00:00Z,501,Milano - viale Marche,NA,0.9,54.8,95.9,NA,NA
2019-01-02T06:00:00Z,584,Bergamo - via Garibaldi,NA,0.5,28.1,42.4,NA,2.1
2019-01-02T06:00:00Z,501,Milano - viale Marche,NA,1.1,67.5,147.7,NA,NA
2019-01-02T07:00:00Z,584,Bergamo - via Garibaldi,NA,0.7,32.7,85.4,NA,3
2019-01-02T07:00:00Z,501,Milano - viale Marche,NA,1.2,71.6,217.5,NA,NA
2019-01-02T08:00:00Z,584,Bergamo - via Garibaldi,NA,0.9,39.7,138,NA,4.6
2019-01-02T08:00:00Z,501,Milano - viale Marche,NA,1.8,101.3,458.1,NA,NA
2019-01-02T09:00:00Z,584,Bergamo - via Garibaldi,NA,0.3,NA,NA,NA,1.3
2019-01-02T09:00:00Z,501,Milano - viale Marche,NA,2.1,139.1,647.5,NA,NA
2019-01-02T10:00:00Z,584,Bergamo - via Garibaldi,NA,0.2,NA,NA,NA,0
2019-01-02T10:00:00Z,501,Milano - viale Marche,NA,0.7,57.8,116.2,NA,NA
2019-01-02T11:00:00Z,584,Bergamo - via Garibaldi,NA,0.2,NA,NA,NA,NA
2019-01-02T11:00:00Z,501,Milano - viale Marche,NA,0.6,30,64.9,NA,NA
2019-01-02T12:00:00Z,584,Bergamo - via Garibaldi,NA,0.2,NA,NA,NA,NA
2019-01-02T12:00:00Z,501,Milano - viale Marche,NA,0.6,20.4,51.5,NA,NA
2019-01-02T13:00:00Z,584,Bergamo - via Garibaldi,NA,0.2,NA,NA,NA,0
2019-01-02T13:00:00Z,501,Milano - viale Marche,NA,0.6,22.5,55.3,NA,NA
2019-01-02T14:00:00Z,584,Bergamo - via Garibaldi,NA,0.2,NA,NA,NA,0.3
2019-01-02T14:00:00Z,501,Milano - viale Marche,NA,0.5,17.5,48.3,NA,NA
2019-01-02T15:00:00Z,584,Bergamo - via Garibaldi,NA,0.2,NA,NA,NA,NA
2019-01-02T15:00:00Z,501,Milano - viale Marche,NA,0.6,19.3,50.1,NA,NA
2019-01-02T16:00:00Z,584,Bergamo - via Garibaldi,NA,0.2,NA,NA,NA,NA
2019-01-02T16:00:00Z,501,Milano - viale Marche,NA,0.6,31.8,64.7,NA,NA
2019-01-02T17:00:00Z,584,Bergamo - via Garibaldi,NA,0.2,NA,NA,NA,NA
2019-01-02T17:00:00Z,501,Milano - viale Marche,NA,0.6,42.4,79.2,NA,NA
2019-01-02T18:00:00Z,584,Bergamo - via Garibaldi,NA,0.4,30.5,51.3,NA,0.5
2019-01-02T18:00:00Z,501,Milano - viale Marche,NA,0.7,41.9,79.7,NA,NA
2019-01-02T19:00:00Z,584,Bergamo - via Garibaldi,NA,0.5,32.9,58.4,NA,0.9
