,Date,Ammonia,PM10,PM25,Wind_speed,Temperature,Rainfall,Quadrante
0,2014-02-12,6.5,54.0,44.0,0.4796342781979159,8.004166666666668,0.0,2
1,2014-02-13,8.3,52.0,43.0,1.0353374507125614,5.375,0.6000000000000001,1
2,2014-02-14,7.7,43.0,36.0,1.0618358799746064,7.508333333333334,0.0,4
3,2014-02-15,9.6,41.0,35.0,0.4526481899391854,6.404166666666667,0.0,4
4,2014-02-16,7.4,67.0,59.0,0.771591126534125,7.554166666666667,0.2,4
5,2014-02-17,7.5,54.0,44.0,0.7972996660676215,8.595833333333333,3.6000000000000005,4
6,2014-02-18,9.7,55.0,36.0,0.1157729836918821,6.75,0.0,1
7,2014-02-19,8.9,35.0,30.0,0.8055189237724907,8.512500000000001,9.199999999999998,4
8,2014-02-20,5.7,21.0,15.0,0.4653912740208725,8.895833333333334,3.6,2
9,2014-02-21,6.0,41.0,36.0,0.5152970865984798,9.1625,2.6,3
10,2014-02-22,5.0,37.0,32.0,0.1220585463314424,9.495833333333334,0.8,4
11,2014-02-23,5.5,26.0,19.0,0.7949377168350915,8.0,0.0,1
12,2014-02-24,11.6,56.0,46.0,0.5430494646541059,7.133333333333334,0.0,3
13,2014-02-25,9.6,68.0,54.0,0.1450220544926565,7.466666666666667,0.0,4
14,2014-02-26,14.0,61.0,53.0,1.3485839309100538,8.450000000000001,2.2,1
15,2014-02-27,6.5,33.0,27.0,1.0696059093179084,7.791666666666667,0.2,4
16,2014-02-28,7.0,37.0,25.0,1.376884225414842,8.183333333333334,1.0,1
17,2014-03-01,5.2,11.0,9.0,3.7324255004488425,7.466666666666667,15.6,1
18,2014-03-02,4.0,16.0,11.0,0.9471038952062418,7.308333333333334,8.800000000000002,4
19,2014-03-03,5.4,31.0,25.0,1.2165186860798531,8.375,0.8,2
20,2014-03-04,4.800000000000001,,,1.9520088833297555,9.404166666666669,0.0,1
21,2014-03-05,5.6000000000000005,,,0.7344024054399872,10.266666666666667,0.0,4
22,2014-03-06,7.0,53.0,38.0,0.6886253581080339,11.675,0.0,4
23,2014-03-07,7.800000000000001,49.0,34.0,0.3751253792849429,10.591666666666669,0.0,2
24,2014-03-08,14.5,53.0,41.0,0.8324799659229617,10.016666666666667,0.0,1
25,2014-03-09,10.4,59.0,45.0,0.3541573154334405,9.845833333333331,0.0,1
26,2014-03-10,8.200000000000001,56.0,37.0,0.8722729359468242,9.404166666666669,0.0,1
27,2014-03-11,14.7,53.0,40.0,0.9792530543256284,9.404166666666669,0.0,1
28,2014-03-12,18.4,75.0,53.0,0.5303451470162899,10.108333333333334,0.0,3
29,2014-03-13,18.6,75.0,55.0,0.3825787640624503,10.883333333333333,0.0,1
30,2014-03-14,33.0,88.0,66.0,0.1033700241514475,11.3375,0.0,4
31,2014-03-15,27.700000000000003,84.0,66.0,1.0976676851562015,12.070833333333336,0.0,4
32,2014-03-16,21.8,71.0,62.0,0.2129981527489186,12.045833333333334,0.0,1
33,2014-03-17,31.6,,75.0,1.0861688441568191,12.566666666666666,0.0,1
34,2014-03-18,23.4,79.0,52.0,0.0717768448852417,12.941666666666668,0.0,4
35,2014-03-19,18.9,56.0,36.0,0.4660776793508608,14.727272727272728,0.0,4
36,2014-03-20,18.2,106.0,66.0,0.9050665871713898,12.420833333333334,0.0,1
37,2014-03-21,16.400000000000002,86.0,58.0,0.7293071933932879,14.083333333333334,0.0,4
38,2014-03-23,10.2,16.0,19.0,0.0507164856342246,11.391666666666667,11.4,2
39,2014-03-24,5.7,10.0,6.0,0.4062801148356787,9.8375,2.2,3
40,2014-03-25,7.9,25.0,20.0,1.1995566150137906,7.404166666666667,0.2,1
41,2014-03-26,8.6,26.0,21.0,1.3577172169475296,8.9625,0.2,1
42,2014-03-27,9.8,30.0,22.0,0.6137459448138701,10.704166666666667,0.0,4
43,2014-03-28,9.5,34.0,29.0,0.8076779177165476,12.6375,0.2,4
44,2014-03-29,16.3,48.0,39.0,0.5376809075370808,13.316666666666666,0.0,1
45,2014-03-30,19.0,61.0,45.0,0.5774993140601373,14.0125,0.0,3
46,2014-03-31,10.9,45.0,33.0,1.210643089746973,15.108333333333334,0.0,4
47,2014-04-01,9.1,30.0,17.0,1.1380161517790763,14.775,0.0,4
48,2014-04-02,7.7,39.0,17.0,1.0894047873838764,14.483333333333334,0.0,4
49,2014-04-03,8.200000000000001,59.0,32.0,0.6696417680683188,14.054166666666667,0.0,1
50,2014-04-04,6.7,40.0,25.0,2.329242034486508,13.308333333333334,1.8,1
51,2014-04-05,7.1000000000000005,40.0,30.0,0.3044625874129644,14.804166666666667,0.2,4
52,2014-04-06,6.300000000000001,37.0,28.0,0.7924305897150591,16.1125,0.0,3
53,2014-04-07,9.3,47.0,29.0,0.8129299490125658,17.291666666666668,0.0,1
54,2014-04-08,13.9,54.0,35.0,0.547647346289707,16.650000000000002,0.0,4
55,2014-04-09,7.1000000000000005,26.0,19.0,0.500928306833745,15.895833333333334,0.0,1
56,2014-04-10,6.300000000000001,30.0,19.0,0.3675984095338925,15.845833333333331,0.0,1
57,2014-04-11,6.9,40.0,21.0,1.9089506555474287,15.225,0.0,1
58,2014-04-12,5.9,23.0,16.0,1.444424744497319,15.016666666666667,0.0,1
59,2014-04-13,6.0,27.0,24.0,0.9918716108663788,15.4,0.0,1
60,2014-04-14,7.0,37.0,27.0,1.0035799629908784,16.541666666666668,0.0,3
61,2014-04-15,4.2,29.0,18.0,0.4160539967331276,14.541666666666668,0.0,2
62,2014-04-16,4.0,20.0,13.0,0.6652330718434616,13.016666666666667,0.0,2
63,2014-04-17,5.0,21.0,17.0,0.5478427933895538,12.991666666666667,0.0,2
64,2014-04-18,7.5,35.0,18.0,0.5356267030432809,13.116666666666667,0.0,1
65,2014-04-19,6.6000000000000005,17.0,17.0,2.288496533891156,12.716666666666669,4.0,1
66,2014-04-20,5.6000000000000005,26.0,19.0,0.239850408112963,14.808333333333335,0.2,4
67,2014-04-21,4.6000000000000005,21.0,18.0,1.1701550908819345,12.475,15.4,1
68,2014-04-22,5.2,34.0,22.0,0.6244344987570958,15.295833333333334,1.0,3
69,2014-04-23,6.2,45.0,41.0,0.4388921006935305,16.395833333333336,0.0,1
70,2014-04-24,6.5,45.0,32.0,0.7980623443120308,18.7875,0.0,3
71,2014-04-25,6.2,28.0,18.0,0.2613434328511965,18.645833333333336,0.0,1
72,2014-04-26,5.5,25.0,16.0,0.3877552456810005,19.45416666666667,0.0,3
73,2014-04-27,5.300000000000001,17.0,14.0,0.5445617434128662,16.145833333333336,0.4,1
74,2014-04-28,2.8000000000000003,14.0,12.0,1.542937477448379,11.695833333333336,37.60000000000001,3
75,2014-04-29,2.9000000000000004,27.0,15.0,1.1268053180050006,15.570833333333333,22.4,3
76,2014-04-30,2.3000000000000003,20.0,12.0,0.8267572687521146,13.720833333333331,23.0,1
77,2014-05-01,3.2,20.0,18.0,0.7698661337860601,16.195833333333333,0.2,4
78,2014-05-02,2.4000000000000004,14.0,9.0,1.0573406276875308,13.595833333333331,25.4,1
79,2014-05-03,2.6,21.0,19.0,0.5637370236783773,15.529166666666669,0.8,4
80,2014-05-04,2.5,19.0,10.0,0.1521711356836071,16.491666666666667,0.2,2
81,2014-05-05,3.5,21.0,17.0,1.7333277852428244,16.933333333333334,0.0,1
82,2014-05-06,3.7,27.0,20.0,0.589164003803778,17.129166666666666,0.0,1
83,2014-05-07,4.0,20.0,,0.7410127254933042,18.075000000000003,0.0,1
84,2014-05-08,3.5,,,0.7819705519389875,17.70416666666667,0.0,1
85,2014-05-09,4.4,41.0,25.0,0.7897656446284486,19.725,0.0,1
86,2014-05-10,7.5,34.0,26.0,0.5559071268629472,21.375,0.0,1
87,2014-05-11,5.4,27.0,12.0,0.92694896734815,20.004166666666663,0.0,4
88,2014-05-12,4.5,15.0,7.0,0.5054724096472661,17.729166666666668,0.0,2
89,2014-05-13,4.3,12.0,10.0,1.2876396913508283,15.704166666666667,0.0,1
90,2014-05-14,4.800000000000001,17.0,13.0,1.0514483385534634,16.858333333333334,0.0,4
91,2014-05-15,4.9,15.0,6.0,0.1076707484835272,17.075,0.0,4
92,2014-05-16,3.9,19.0,10.0,0.9181846150271588,18.375,0.0,3
93,2014-05-17,4.5,11.0,3.0,0.3891152589213393,19.2375,0.0,2
94,2014-05-18,7.300000000000001,19.0,13.0,0.5489050654538462,19.554166666666667,0.0,3
95,2014-05-19,4.2,22.0,11.0,0.797975488409591,18.07916666666667,0.0,2
96,2014-05-20,5.9,29.0,17.0,1.334653978688436,20.3625,0.0,4
97,2014-05-21,5.800000000000001,31.0,15.0,0.2842389343749784,22.47083333333333,0.0,2
98,2014-05-22,6.6000000000000005,34.0,20.0,0.9325787753949902,22.09166666666667,0.0,1
99,2014-05-23,6.1000000000000005,25.0,15.0,1.2347971695586573,22.075000000000003,0.0,2
100,2014-05-24,5.0,20.0,12.0,0.8697291102308379,20.495833333333334,0.0,4
101,2014-05-25,6.1000000000000005,20.0,13.0,0.3376285555464795,21.51666666666667,0.0,2
102,2014-05-26,8.200000000000001,27.0,15.0,0.0800018501386337,19.78333333333333,0.0,1
103,2014-05-27,5.2,12.0,8.0,1.2669605124408083,18.60833333333333,11.000000000000002,3
104,2014-05-28,4.4,16.0,9.0,0.3498501753433361,18.55,6.4,4
105,2014-05-29,5.2,22.0,11.0,0.445355933714955,18.245833333333334,0.0,4
106,2014-05-30,12.5,22.0,17.0,0.3813510079529587,21.59583333333333,0.0,4
107,2014-05-31,6.4,16.0,10.0,1.9329271368745256,18.5625,4.6000000000000005,1
108,2014-06-01,8.6,20.0,17.0,0.3913403367417242,20.012500000000003,0.0,1
109,2014-06-02,10.6,20.0,15.0,0.6551102179850385,19.879166666666663,0.0,2
110,2014-06-03,8.700000000000001,24.0,21.0,0.7868020130863886,19.9875,0.0,1
111,2014-06-04,8.9,33.0,25.0,0.5030173900515033,20.54583333333333,0.0,1
112,2014-06-05,6.2,23.0,17.0,0.7535130739134639,21.60833333333333,0.0,1
113,2014-06-07,9.4,51.0,38.0,0.4931263396752707,25.0625,0.0,4
114,2014-06-08,8.700000000000001,46.0,31.0,0.1970578877988121,26.995833333333334,0.0,4
115,2014-06-09,10.6,41.0,34.0,1.1678729393192773,27.65833333333333,0.0,1
116,2014-06-10,8.5,35.0,26.0,0.961039332532184,28.258333333333333,0.0,1
117,2014-06-11,9.9,43.0,29.0,0.6909186242250178,28.616666666666667,0.0,4
118,2014-06-12,,,,0.9851935127219084,26.061538461538465,0.0,4
119,2014-06-13,,,,0.6887106559659386,30.24,0.0,4
120,2014-06-14,13.0,21.0,12.0,1.6216558877948992,23.65833333333333,3.6000000000000005,1
121,2014-06-15,10.0,14.0,10.0,1.5115676842128765,20.9625,3.6,1
122,2014-06-16,11.1,16.0,12.0,1.6693502566479128,21.47083333333333,0.0,1
123,2014-06-17,11.5,27.0,19.0,1.160534510927252,20.64166666666667,2.8000000000000003,1
124,2014-06-18,11.6,20.0,17.0,0.44993686925332,20.875,0.2,4
125,2014-06-19,12.7,26.0,20.0,1.008306110402072,24.280412371134023,0.0,4
126,2014-06-20,12.4,26.0,18.0,1.2415485162014774,24.26805555555556,0.0,4
127,2014-06-21,11.5,28.0,16.0,1.2873862576253698,23.441666666666663,0.0,1
128,2014-06-22,12.9,40.0,29.0,0.699007437224261,24.54305555555556,0.2,1
129,2014-06-23,12.0,29.0,20.0,0.4121901499916581,25.540972222222223,0.2,4
130,2014-06-24,10.7,22.0,16.0,0.8578830207437079,24.369444444444447,0.0,1
131,2014-06-25,10.4,19.0,12.0,1.1102980831998952,20.558333333333334,7.4,1
132,2014-06-26,11.4,29.0,19.0,1.040382147504452,20.4625,1.0,1
133,2014-06-27,11.0,30.0,25.0,0.5753959702955266,22.68888888888889,0.2,1
134,2014-06-28,14.7,33.0,26.0,0.5786796349727829,23.958333333333336,0.0,1
135,2014-06-29,12.3,37.0,24.0,0.9924492377691246,20.765972222222224,5.600000000000001,1
136,2014-06-30,9.8,8.0,5.0,0.6971383145226513,22.08125,0.0,4
137,2014-07-01,10.4,15.0,9.0,1.070711233879298,21.39305555555556,1.6,1
138,2014-07-02,11.0,20.0,12.0,0.8271567632577683,22.51805555555556,0.0,4
139,2014-07-03,9.9,19.0,15.0,1.0528341453498855,23.553472222222226,0.0,1
140,2014-07-04,11.4,29.0,20.0,0.6989464881309156,20.622222222222224,0.2,1
141,2014-07-05,10.4,31.0,23.0,1.5987847851869337,22.82777777777778,0.0,4
142,2014-07-06,11.1,30.0,24.0,0.1821518681845881,25.41736111111112,0.0,1
143,2014-07-07,10.1,23.0,17.0,0.3988194271153903,24.93680555555556,1.2000000000000002,4
144,2014-07-09,7.1000000000000005,11.0,7.0,0.4618063587892926,19.38055555555556,3.6000000000000005,4
145,2014-07-10,8.200000000000001,9.0,6.0,0.5300522535245695,20.05625,0.0,1
146,2014-07-11,10.8,18.0,13.0,0.9260473298169364,22.460416666666667,0.0,1
147,2014-07-12,13.3,32.0,25.0,0.5244258516716489,21.038194444444446,17.6,1
148,2014-07-13,11.0,22.0,20.0,0.3945377325266828,21.61041666666667,0.0,1
149,2014-07-14,10.3,17.0,10.0,0.971704315870176,22.100694444444446,0.0,1
150,2014-07-15,12.0,23.0,17.0,0.6564563869685895,24.253846153846155,0.0,1
151,2014-07-16,14.2,25.0,16.0,0.3909828929275495,26.125,0.0,1
152,2014-07-17,13.8,29.0,18.0,0.5336803615488873,27.090972222222224,0.0,1
153,2014-07-18,13.0,28.0,15.0,1.0555318896948738,26.87361111111112,0.0,1
154,2014-07-19,14.9,32.0,24.0,0.7847036905123056,27.89236111111111,0.0,1
