,IDStation,NameStation,Date,Ammonia,CO,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide,Wind_speed,Temperature,Relative_humidity,Global_radiation,Rainfall,Quadrante
0,677,Cremona Via Fatebenefratelli,2014-02-12,6.5,0.55,54.00833333333334,149.79583333333335,12.0375,54.0,44.0,3.1125000000000003,0.4796342781979159,8.004166666666668,77.49583333333334,124.25,0.0,2
1,677,Cremona Via Fatebenefratelli,2014-02-13,8.3,0.5666666666666667,54.67083333333333,147.55833333333334,3.4708333333333337,52.0,43.0,1.375,1.0353374507125614,5.375,96.0875,31.375000000000004,0.6000000000000001,1
2,677,Cremona Via Fatebenefratelli,2014-02-14,7.7,0.5875,59.54166666666667,153.525,15.495833333333334,43.0,36.0,2.0708333333333333,1.0618358799746064,7.508333333333334,74.60000000000001,118.25833333333335,0.0,4
3,677,Cremona Via Fatebenefratelli,2014-02-15,9.6,0.4291666666666667,48.06666666666667,84.47083333333333,4.958333333333334,41.0,35.0,2.591666666666667,0.4526481899391854,6.404166666666667,88.00833333333334,13.620833333333334,0.0,4
4,677,Cremona Via Fatebenefratelli,2014-02-16,7.4,0.5875,53.56666666666667,87.49166666666667,6.316666666666667,67.0,59.0,2.9916666666666667,0.771591126534125,7.554166666666667,90.2375,38.24166666666666,0.2,4
5,677,Cremona Via Fatebenefratelli,2014-02-17,7.5,0.6208333333333333,45.27916666666667,106.1375,12.271428571428572,54.0,44.0,0.7708333333333334,0.7972996660676215,8.595833333333333,91.59166666666668,99.72916666666666,3.6000000000000005,4
6,677,Cremona Via Fatebenefratelli,2014-02-18,9.7,0.625,50.96666666666667,165.45833333333334,1.4708333333333334,55.0,36.0,0.5916666666666667,0.1157729836918821,6.75,94.52916666666668,43.1375,0.0,1
7,677,Cremona Via Fatebenefratelli,2014-02-19,8.9,0.4708333333333333,49.895833333333336,91.18333333333334,3.1217391304347832,35.0,30.0,1.1833333333333331,0.8055189237724907,8.512500000000001,99.34166666666668,9.733333333333333,9.199999999999998,4
8,677,Cremona Via Fatebenefratelli,2014-02-20,5.7,0.3041666666666667,38.50833333333333,51.6375,25.520833333333336,21.0,15.0,1.0291666666666668,0.4653912740208725,8.895833333333334,92.65833333333332,45.31250000000001,3.6,2
9,677,Cremona Via Fatebenefratelli,2014-02-21,6.0,0.4208333333333334,45.43333333333334,86.38333333333334,15.641666666666667,41.0,36.0,0.8458333333333333,0.5152970865984798,9.1625,87.28750000000001,70.18750000000001,2.6,3
10,677,Cremona Via Fatebenefratelli,2014-02-22,5.0,0.3708333333333333,35.40416666666667,50.04166666666667,25.44166666666667,37.0,32.0,0.8541666666666667,0.1220585463314424,9.495833333333334,83.39583333333334,122.4375,0.8,4
11,677,Cremona Via Fatebenefratelli,2014-02-23,5.5,0.3291666666666667,37.64166666666667,64.2125,31.45833333333333,26.0,19.0,1.7791666666666668,0.7949377168350915,8.0,75.73333333333333,141.92916666666667,0.0,1
12,677,Cremona Via Fatebenefratelli,2014-02-24,11.6,0.6375000000000001,59.28333333333334,157.4625,18.391666666666666,56.0,46.0,2.6833333333333336,0.5430494646541059,7.133333333333334,76.73750000000001,135.5583333333333,0.0,3
13,677,Cremona Via Fatebenefratelli,2014-02-25,9.6,0.675,65.75,176.78333333333333,15.579166666666667,68.0,54.0,1.5916666666666668,0.1450220544926565,7.466666666666667,75.4,108.45416666666668,0.0,4
14,677,Cremona Via Fatebenefratelli,2014-02-26,14.0,0.5541666666666667,53.425,103.5625,13.6375,61.0,53.0,0.9083333333333334,1.3485839309100538,8.450000000000001,84.28333333333333,39.1125,2.2,1
15,677,Cremona Via Fatebenefratelli,2014-02-27,6.5,0.4125,36.025000000000006,50.02916666666667,27.44166666666667,33.0,27.0,1.2583333333333335,1.0696059093179084,7.791666666666667,84.18333333333334,93.87916666666668,0.2,4
16,677,Cremona Via Fatebenefratelli,2014-02-28,7.0,0.425,41.40416666666667,85.85833333333335,29.37916666666667,37.0,25.0,1.3333333333333337,1.376884225414842,8.183333333333334,80.65833333333333,77.10416666666667,1.0,1
