IDStation,NameStation,Date,Ammonia,Arsenic,Benzo_a_pyrene,Cadmium,Lead,Nikel,NO,NO2,NOx,Ozone,PM10,PM25
681,Moggio Loc Penscei,2014-01-01,0,NA,0.1,NA,NA,NA,0.26666666666666666,2.7833333333333337,3.5833333333333335,76.30833333333334,6,7
681,Moggio Loc Penscei,2014-01-02,0,NA,NA,NA,NA,NA,0.9416666666666668,2.041666666666667,4.883333333333334,64.275,6,5
681,Moggio Loc Penscei,2014-01-03,0,1.1,NA,0,1.1,4.2,0.37500000000000006,1.3416666666666668,2.1833333333333336,71.04583333333333,11,4
681,Moggio Loc Penscei,2014-01-04,0,NA,0.1,NA,NA,NA,0.24166666666666667,2.166666666666667,3.4916666666666667,65.78333333333333,6,7
681,Moggio Loc Penscei,2014-01-05,0,NA,NA,NA,NA,NA,0.2833333333333334,1.6166666666666667,2.1583333333333337,72.15416666666667,3,8
681,Moggio Loc Penscei,2014-01-06,0,NA,NA,NA,NA,NA,0.30833333333333335,1.9500000000000002,3.1333333333333337,75.59166666666667,2,2
681,Moggio Loc Penscei,2014-01-07,0,NA,0.1,NA,NA,NA,0.13333333333333336,1.4666666666666668,3,76.13333333333334,7,7
681,Moggio Loc Penscei,2014-01-08,0,NA,NA,NA,NA,NA,0.11666666666666668,2.1833333333333336,2.625,74.425,4,4
681,Moggio Loc Penscei,2014-01-09,0,1.1,NA,0,1.1,4.2,0.058333333333333334,1.9000000000000001,2.2333333333333334,75.21666666666667,4,7
681,Moggio Loc Penscei,2014-01-10,0,NA,0.1,NA,NA,NA,0.125,1.8166666666666667,2.3333333333333335,69.73333333333333,12,5
681,Moggio Loc Penscei,2014-01-11,0,NA,NA,NA,NA,NA,0.2,2.691666666666667,3.1416666666666666,61.6,11,8
681,Moggio Loc Penscei,2014-01-12,0,NA,NA,NA,NA,NA,0.4250000000000001,2.6833333333333336,3.9833333333333334,67.60833333333333,6,3
681,Moggio Loc Penscei,2014-01-13,0,NA,0.2,NA,NA,NA,0.9,6.133333333333334,9.416666666666668,52.925000000000004,16,12
681,Moggio Loc Penscei,2014-01-14,0,NA,NA,NA,NA,NA,0.5833333333333334,2.6083333333333334,3.816666666666667,56.642857142857146,6,1
681,Moggio Loc Penscei,2014-01-15,0,1.1,NA,0,4.2,4.2,0.05000000000000001,2,2.3333333333333335,75.85000000000001,1,NA
681,Moggio Loc Penscei,2014-01-16,0,NA,0.1,NA,NA,NA,0.13333333333333336,1.6583333333333334,1.975,80.025,4,1
681,Moggio Loc Penscei,2014-01-17,0,NA,NA,NA,NA,NA,0.5666666666666667,1.9833333333333334,3.35,68.89583333333334,NA,NA
681,Moggio Loc Penscei,2014-01-18,0,NA,NA,NA,NA,NA,0.10833333333333334,1.7166666666666668,2,74.1125,4,6
681,Moggio Loc Penscei,2014-01-19,0,NA,0.1,NA,NA,NA,0.05,1.475,1.7416666666666667,77.28333333333333,8,3
681,Moggio Loc Penscei,2014-01-20,NA,NA,NA,NA,NA,NA,0.18333333333333335,1.6083333333333334,1.9000000000000001,62.75,8,8
681,Moggio Loc Penscei,2014-01-21,0,1.1,NA,0,1.1,4.2,0.14166666666666666,1.8583333333333334,2.625,66.64166666666667,5,9
681,Moggio Loc Penscei,2014-01-22,0,NA,0.1,NA,NA,NA,0.9833333333333334,3.3833333333333333,6.791666666666667,60.87916666666667,5,4
681,Moggio Loc Penscei,2014-01-23,0,NA,NA,NA,NA,NA,0.38333333333333336,3.475,4.283333333333333,61.225,10,9
681,Moggio Loc Penscei,2014-01-24,0,NA,NA,NA,NA,NA,0.3166666666666667,3.441666666666667,6.45,65.175,6,12
681,Moggio Loc Penscei,2014-01-25,0,NA,0.1,NA,NA,NA,0.09166666666666667,2.1083333333333334,2.6166666666666667,86.99166666666667,4,3
681,Moggio Loc Penscei,2014-01-26,0,NA,NA,NA,NA,NA,0.7083333333333334,2.591666666666667,3.6750000000000003,87.65833333333335,2,1
681,Moggio Loc Penscei,2014-01-27,0,1.1,NA,0.1,6.300000000000001,4.2,0.8083333333333335,7.1000000000000005,11.775,69.72916666666667,21,16
681,Moggio Loc Penscei,2014-01-28,NA,NA,0.2,NA,NA,NA,2.2416666666666667,6.4750000000000005,10.341666666666667,49.31764705882353,34,30
681,Moggio Loc Penscei,2014-01-29,NA,NA,NA,NA,NA,NA,0.16363636363636364,4.118181818181818,4.209090909090909,68.84545454545454,15,14
681,Moggio Loc Penscei,2014-01-30,0,NA,NA,NA,NA,NA,0.3666666666666667,3.6750000000000003,4.566666666666666,68.6875,6,7
681,Moggio Loc Penscei,2014-01-31,0,NA,0.1,NA,NA,NA,0.21666666666666667,2.4583333333333335,3.3916666666666666,73.97916666666667,12,8
681,Moggio Loc Penscei,2014-02-01,0,NA,NA,NA,NA,NA,0.24166666666666667,3.716666666666667,5.958333333333334,67.82083333333334,7,18
681,Moggio Loc Penscei,2014-02-02,0,1.1,NA,0.4,21,4.2,1.3833333333333333,7.508333333333334,11.866666666666667,35.7875,10,4
681,Moggio Loc Penscei,2014-02-03,0,NA,0.1,NA,NA,NA,0.15833333333333335,2.3833333333333333,3.716666666666667,63.25416666666667,1,2
681,Moggio Loc Penscei,2014-02-04,0,NA,NA,NA,NA,NA,0.08333333333333334,3.4000000000000004,3.7583333333333333,63.49166666666667,11,1
681,Moggio Loc Penscei,2014-02-05,0,NA,NA,NA,NA,NA,0.6000000000000001,6.666666666666667,8.341666666666667,58.112500000000004,4,0
681,Moggio Loc Penscei,2014-02-06,0,NA,0.1,NA,NA,NA,0.12500000000000003,1.6666666666666667,3.7083333333333335,76.49166666666667,4,1
681,Moggio Loc Penscei,2014-02-07,0,NA,NA,NA,NA,NA,0.03333333333333334,1.8916666666666668,2.6416666666666666,76.53333333333333,4,2
681,Moggio Loc Penscei,2014-02-08,0,1.1,NA,0,4.2,6.300000000000001,0.16666666666666669,2.1583333333333337,2.3333333333333335,70.2125,NA,2
681,Moggio Loc Penscei,2014-02-09,0,NA,0.1,NA,NA,NA,0.525,2.7583333333333333,4.3500000000000005,73.2375,7,3
681,Moggio Loc Penscei,2014-02-10,0,NA,NA,NA,NA,NA,0.1,2.3833333333333333,3.0500000000000003,79.07916666666667,3,4
681,Moggio Loc Penscei,2014-02-11,0.1,NA,NA,NA,NA,NA,0.33333333333333337,3.916666666666667,4.691666666666667,73.87083333333334,5,3
681,Moggio Loc Penscei,2014-02-12,0,NA,0.1,NA,NA,NA,0.025,2.9916666666666667,3.1500000000000004,80.95,4,4
681,Moggio Loc Penscei,2014-02-13,0,NA,NA,NA,NA,NA,0.23333333333333334,4.6000000000000005,5.2250000000000005,78.10416666666667,5,7
681,Moggio Loc Penscei,2014-02-14,0,1.1,NA,0,4.2,6.300000000000001,0.01666666666666667,1.7166666666666668,2.5583333333333336,86.30000000000001,5,3
681,Moggio Loc Penscei,2014-02-15,0,NA,0.1,NA,NA,NA,0.4083333333333333,4.95,6.708333333333334,66.54583333333333,16,13
681,Moggio Loc Penscei,2014-02-16,0,NA,NA,NA,NA,NA,0.04166666666666667,1.85,1.9166666666666667,72.84166666666667,9,8
681,Moggio Loc Penscei,2014-02-17,0,NA,NA,NA,NA,NA,0.05000000000000001,2.2416666666666667,3.0166666666666666,69.19583333333334,7,4
681,Moggio Loc Penscei,2014-02-18,0,NA,0.1,NA,NA,NA,0.05,2.5,3.8750000000000004,77.37083333333334,10,5
681,Moggio Loc Penscei,2014-02-19,0,NA,NA,NA,NA,NA,0.025000000000000005,1.925,1.8666666666666667,74.67916666666667,6,5
681,Moggio Loc Penscei,2014-02-20,0,1.1,NA,0.1,10.5,8.4,0.6333333333333334,6.291666666666667,11.275,71.72500000000001,19,9
681,Moggio Loc Penscei,2014-02-21,0,NA,0.1,NA,NA,NA,0.3333333333333333,6.425000000000001,9.450000000000001,60.5625,13,NA
681,Moggio Loc Penscei,2014-02-22,0,NA,NA,NA,NA,NA,0,2,1.6333333333333335,84.9625,2,9
681,Moggio Loc Penscei,2014-02-23,0,NA,NA,NA,NA,NA,0.13333333333333336,4.341666666666667,4.858333333333333,83.39583333333334,11,10
681,Moggio Loc Penscei,2014-02-24,0,NA,0.1,NA,NA,NA,0.05,3.5,4.833333333333334,82.10833333333333,19,12
681,Moggio Loc Penscei,2014-02-25,0.1,NA,NA,NA,NA,NA,0.175,4.108333333333333,9.35,81.81666666666668,20,16
681,Moggio Loc Penscei,2014-02-26,0.4,1.1,NA,0.1,6.300000000000001,8.4,0.12500000000000003,4.266666666666667,8.283333333333333,75.72916666666667,14,7
681,Moggio Loc Penscei,2014-02-27,0,NA,0.1,NA,NA,NA,0.008333333333333335,2.5833333333333335,2.5500000000000003,88.47,8,6
681,Moggio Loc Penscei,2014-02-28,0,NA,NA,NA,NA,NA,0,2.4333333333333336,2.4583333333333335,84.20833333333334,7,10
681,Moggio Loc Penscei,2014-03-01,0,NA,NA,NA,NA,NA,0.10833333333333334,2.2666666666666666,3.3083333333333336,85.39583333333334,5,9
681,Moggio Loc Penscei,2014-03-02,0,NA,0.1,NA,NA,NA,0.30833333333333335,3.2750000000000004,5.366666666666667,77.54583333333333,8,5
