,index,Date,Ammonia,PM10,PM25,Wind_speed,Temperature,Rainfall,Quadrante
0,1,2018-01-01T00:00:00Z,1.4,5.0,4.0,0.300969658396835,2.095833333333333,2.4000000000000004,1
1,4,2018-01-02T00:00:00Z,1.0,3.0,2.0,0.6131834216353806,1.6701388888888888,0.0,1
2,7,2018-01-03T00:00:00Z,1.0,5.0,5.0,0.5391716225667252,1.9722222222222223,0.6000000000000001,1
3,10,2018-01-04T00:00:00Z,1.4,6.0,3.0,0.2114496299159768,3.08125,0.0,1
4,13,2018-01-05T00:00:00Z,1.7,7.0,8.0,0.1169527119839815,3.6534722222222222,0.0,1
5,16,2018-01-06T00:00:00Z,1.9,6.0,7.0,1.281679846780456,4.139583333333333,9.8,2
6,19,2018-01-07T00:00:00Z,1.9,10.0,8.0,2.0509578311718664,5.298611111111111,1.2000000000000002,3
7,22,2018-01-08T00:00:00Z,1.7,11.0,7.0,2.4836010307724607,6.2965277777777775,0.0,3
8,25,2018-01-09T00:00:00Z,1.7,15.0,6.0,1.6017145972991158,3.667361111111111,32.2,4
9,28,2018-01-10T00:00:00Z,1.5,6.0,3.0,0.4356844269120695,1.4256944444444444,1.0,2
10,31,2018-01-11T00:00:00Z,1.4,13.0,4.0,0.1338905358102801,1.1430555555555555,0.0,1
11,34,2018-01-12T00:00:00Z,1.5,13.0,10.0,0.1967626873656756,1.4111111111111112,0.0,1
12,37,2018-01-13T00:00:00Z,2.1,14.0,8.0,0.1659623351357869,0.2083916083916084,0.0,4
13,40,2018-01-14T00:00:00Z,2.9,25.0,19.0,0.3941348147138532,-1.051388888888889,0.0,3
14,43,2018-01-15T00:00:00Z,3.5,26.0,19.0,0.1482305417204851,-1.6791666666666667,0.0,4
15,46,2018-01-16T00:00:00Z,3.8,21.0,15.0,0.2205305098386988,-0.7006944444444444,0.0,1
16,49,2018-01-17T00:00:00Z,1.9,5.0,5.0,0.6338301353482856,-0.4506944444444444,0.0,1
17,52,2018-01-18T00:00:00Z,1.3,4.0,2.0,0.2912056308843845,0.1069444444444444,0.0,1
18,55,2018-01-19T00:00:00Z,1.4,4.0,5.0,0.4782941230290177,2.5326388888888887,0.0,1
