IDStation,NameStation,Date,Ammonia,Arsenic,Benzene,Benzo_a_pyrene,Cadmium,CO,Lead,Nikel,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide
703,Schivenoglia Via Malpasso,2014-01-01,14.100000000000001,NA,0.6000000000000001,1.5,NA,0.7166666666666667,NA,NA,28.733333333333334,53.55416666666667,12.645833333333334,56,56,2.8875
703,Schivenoglia Via Malpasso,2014-01-02,19.400000000000002,1.1,0.8,NA,0,0.790909090909091,4.2,4.2,32.304761904761904,67.66190476190476,4.640909090909091,56,55,3.522727272727273
703,Schivenoglia Via Malpasso,2014-01-03,10.200000000000001,NA,0.5,NA,NA,0.6125,NA,NA,33.17916666666667,57.99583333333334,5.395833333333334,43,39,2.154166666666667
703,Schivenoglia Via Malpasso,2014-01-04,8.6,NA,0.7000000000000001,0.8,NA,0.7083333333333334,NA,NA,28.166666666666668,56.17916666666667,6.75,37,33,3.1083333333333334
703,Schivenoglia Via Malpasso,2014-01-05,7.7,NA,0.8,NA,NA,0.7375,NA,NA,28.325000000000003,65.87083333333334,3.7208333333333337,18,16,4.116666666666667
703,Schivenoglia Via Malpasso,2014-01-06,13.600000000000001,NA,0.8,NA,NA,0.6958333333333334,NA,NA,27.004166666666666,57.90833333333334,10.033333333333333,26,25,2.4333333333333336
703,Schivenoglia Via Malpasso,2014-01-07,14.4,NA,1.1,1.4000000000000001,NA,0.8304347826086957,NA,NA,36.58695652173913,94.90434782608696,4.678260869565218,53,52,2.5043478260869567
703,Schivenoglia Via Malpasso,2014-01-08,25.700000000000003,1.1,1.1,NA,0,0.8,4.2,2.1,33.09583333333333,100.7125,4.825,NA,53,2.9958333333333336
703,Schivenoglia Via Malpasso,2014-01-09,17.900000000000002,NA,1.8,NA,NA,0.9791666666666667,NA,NA,34.81666666666667,148.7125,4.7125,NA,NA,4.008333333333334
703,Schivenoglia Via Malpasso,2014-01-10,14.100000000000001,NA,1.3,0.7000000000000001,NA,0.8333333333333334,NA,NA,39.80833333333334,151.03750000000002,5.4375,40,38,3.5208333333333335
703,Schivenoglia Via Malpasso,2014-01-11,15,NA,1.9000000000000001,NA,NA,1.0208333333333333,NA,NA,35.4125,187.25833333333335,2.6708333333333334,81,57,4.304166666666667
703,Schivenoglia Via Malpasso,2014-01-12,14.8,NA,1.1,NA,NA,0.8250000000000001,NA,NA,38.7,115.45833333333334,4.329166666666667,64,57,1.9375000000000002
703,Schivenoglia Via Malpasso,2014-01-13,12.100000000000001,NA,0.7000000000000001,0.5,NA,0.6833333333333333,NA,NA,25.408333333333335,68.9375,12.5875,63,50,0.3291666666666667
703,Schivenoglia Via Malpasso,2014-01-14,7.4,1.1,0.7000000000000001,NA,0,0.6916666666666668,1.1,2.1,30.370833333333334,82.15416666666667,12.25,28,28,0
703,Schivenoglia Via Malpasso,2014-01-15,9,NA,0.6000000000000001,NA,NA,0.6666666666666667,NA,NA,25.137500000000003,64.13333333333334,11.154166666666667,32,30,4.042857142857143
703,Schivenoglia Via Malpasso,2014-01-16,NA,NA,NA,0.30000000000000004,NA,NA,NA,NA,38.0125,84.73750000000001,4.3875,NA,NA,4.675
703,Schivenoglia Via Malpasso,2014-01-17,NA,NA,NA,NA,NA,1.4500000000000002,NA,NA,33.66153846153846,148.4923076923077,13.676923076923078,29,24,8.523076923076923
703,Schivenoglia Via Malpasso,2014-01-18,6.4,NA,1.1,0.8,NA,1.6083333333333334,NA,NA,37.6,151.65416666666667,3.529166666666667,25,22,8.5
703,Schivenoglia Via Malpasso,2014-01-19,8.700000000000001,NA,1,NA,NA,1.6541666666666668,NA,NA,28.308333333333334,115.43750000000001,4.575,27,18,8.658333333333333
703,Schivenoglia Via Malpasso,2014-01-20,10.200000000000001,NA,0.9,NA,NA,1.4041666666666668,NA,NA,30.37916666666667,113.75,3.766666666666667,32,22,6.55
703,Schivenoglia Via Malpasso,2014-01-21,12.700000000000001,1.1,0.9,NA,0,1.0250000000000001,4.2,6.300000000000001,35.72916666666667,142.93333333333334,9.083333333333334,37,33,4.316666666666666
703,Schivenoglia Via Malpasso,2014-01-22,28.400000000000002,NA,1,1.3,NA,1.108695652173913,NA,NA,34.42173913043478,171.68695652173915,4.717391304347826,42,38,2.956521739130435
703,Schivenoglia Via Malpasso,2014-01-23,28.3,NA,0.6000000000000001,NA,NA,0.9173913043478261,NA,NA,35.93913043478261,92.05625,12.060869565217391,38,32,1.8608695652173914
703,Schivenoglia Via Malpasso,2014-01-24,24.400000000000002,NA,0.4,NA,NA,0.8541666666666667,NA,NA,21.245833333333334,NA,23.608333333333334,20,17,1.3833333333333333
703,Schivenoglia Via Malpasso,2014-01-25,14.9,NA,0.5,0.7000000000000001,NA,0.891304347826087,NA,NA,27.343478260869567,NA,20.034782608695654,NA,24,1.373913043478261
703,Schivenoglia Via Malpasso,2014-01-26,12.9,1.1,0.8,NA,0.2,0.9833333333333334,1.1,2.1,22.387500000000003,NA,21.541666666666664,44,38,1.5291666666666668
703,Schivenoglia Via Malpasso,2014-01-27,9,NA,0.7000000000000001,NA,NA,0.9608695652173913,NA,NA,20.15217391304348,NA,30.12608695652174,35,NA,2.0173913043478264
703,Schivenoglia Via Malpasso,2014-01-28,7.800000000000001,NA,0.30000000000000004,0.30000000000000004,NA,0.8083333333333333,NA,NA,14.287500000000001,31.3125,52.237500000000004,15,NA,1.8083333333333333
703,Schivenoglia Via Malpasso,2014-01-29,8.4,NA,0.7000000000000001,NA,NA,0.9541666666666667,NA,NA,35.833333333333336,46.7625,22.075000000000003,34,33,1.725
703,Schivenoglia Via Malpasso,2014-01-30,7,NA,0.5,NA,NA,0.8916666666666667,NA,NA,17.854166666666668,19.858333333333334,50.12916666666667,20,19,1.4166666666666667
703,Schivenoglia Via Malpasso,2014-01-31,4.9,NA,0.7000000000000001,0.4,NA,0.9833333333333334,NA,NA,39.54166666666667,47.462500000000006,10.504166666666666,28,25,1.3791666666666667
703,Schivenoglia Via Malpasso,2014-02-01,5.5,1.1,0.8,NA,0.4,1.0375,2.1,6.300000000000001,34.829166666666666,41.85,11.508333333333335,32,24,1.4375
703,Schivenoglia Via Malpasso,2014-02-02,7.800000000000001,NA,0.8,NA,NA,1.0250000000000001,NA,NA,22.0625,29.445833333333336,17.69166666666667,22,14,1.6
703,Schivenoglia Via Malpasso,2014-02-03,6,NA,0.5,0.1,NA,0.9,NA,NA,12.695,14.425,54.690000000000005,13,15,2.475
703,Schivenoglia Via Malpasso,2014-02-04,6,NA,0.5,NA,NA,0.9083333333333333,NA,NA,18.52916666666667,19.895833333333336,51.24583333333334,23,19,3.7750000000000004
703,Schivenoglia Via Malpasso,2014-02-05,6.6000000000000005,NA,0.6000000000000001,NA,NA,0.9583333333333334,NA,NA,24.604166666666668,25.304166666666667,29.75,29,23,4.325
